N,topic,malfunction,cause,elimination
1,Цепи токоприемника,Снятие напряжения с контактной сети из-за срабатывания подстанционной защиты.,"Пробой опорных изоляторов токоприёмника.
Перекрытие изолированных воздушных шлангов токоприёмника.
Излом токоприёмника.","Опустите токоприемник. Остановитесь. Произведите осмотр силовых цепей крышевого оборудования с земли. Выявив пробой, разрушение опорных изоляторов токоприёмника или излом токоприемника - отключите его разъединителем РВ-2. Продолжить дальнейшее движение на исправном токоприемнике."
1,Цепи токоприемника,Снятие напряжения с контактной сети из-за срабатывания подстанционной защиты.,"Пробой проходного изолятора в силовой цепи.
Перекрытие поворотного или проходного изолятора ГВ.
Перекрытие опорного изолятора разъединителей 2,6.
Короткое замыкание на корпус электровоза шин, соединяющих токоприёмники обеих секций","Опустите токоприемник. Остановитесь. Произведите осмотр силовых цепей крышевого оборудования с земли. Выявив:
1. Перекрытие поворотного (или проходного) изолятора ГВ - отключите неисправную секцию разъединителем РВ-6 и перекройте разобщительный кран КН-34 к вентилю токоприемника 245. Неисправную секцию отключите переключателем режимов. Поднимите токоприёмник на исправной секции.
2. При перекрытии опорных изоляторов соединительных шин соединяющие секции выполните:
Выключите разъединитель РВ-6 (который установлен только на секции N 2), неисправную секцию отключите переключателем режимов, поднимите токоприёмник на секции N 2 и следуйте дальше на одной секции;"
2,Цепи токоприемника,Токоприемник выходит за пределы габарита электровоза,Поломка токоприёмника,"Остановить поезд с применение экстренного торможения.
Действуйте согласно требований документов ОАО ""РЖД"" при изломе токоприемника на ЭПС. Отключите высоковольтный разъединитель 2, перекройте воздушный кран к клапану токоприемника и продолжите движение на исправном токоприемнике."
3,Цепи токоприемника,"При включении кнопок ""Токоприёмник"", ""Токоприёмник задний"" токоприёмник не поднимается.","Отключился автомат ""Токоприёмники""","Включить автомат ВА - 1 ""Токоприёмники"""
3,Цепи токоприемника,"При включении кнопок ""Токоприёмник"", ""Токоприёмник задний"" токоприёмник не поднимается.",Неисправны блокировки дверей ВВК.,Проверьте плотность закрытия дверей ВВК и надёжность их блокирования
3,Цепи токоприемника,"При включении кнопок ""Токоприёмник"", ""Токоприёмник задний"" токоприёмник не поднимается.","Неисправна кнопка ""Токоприёмник задний"".",Поднять передний токоприёмник
4,Цепи токоприемника,"При включении кнопки ""Токоприёмник задний"" отключился автомат ""Токоприёмники""",Короткое замыкание в проводе Э17.,"Выключите кнопку ""Токоприемник задний"", включите кнопку ""Токоприемник передний"" и продолжайте движение с поднятым передним токоприемником.
Если при включении кнопки токоприемник передний происходит повторное отключение выключателя ВА-1 ""Токоприемники"", короткое замыкание в электрической цепи реле 248 после диодов 383, 384.
При наличии 248 реле:
- кнопки ""Токоприемник передний"" и ""Токоприемник задний"" на ПУ не включать. Поставить обводной провод с провода НО34 ""Освещение ВВК"" блока N 216 на + клапана N 245 (вентиль токоприемника), провод Н125 отсоединить. Подъем токоприемника осуществлять включением автомата освещение ВВК. Для включения ГВ необходимо на каждой секции заклинить во включенном состоянии реле 248. Включение и отключение ГВ осуществлять установленным порядком.
Без 248 реле:
Поднять другой пантограф или отсоединить ""плюсовой"" провод от вентиля токоприемника и подать питание от ""освещения ВВК""."
5,Цепи главного выключателя (ГВ),"При включенной кнопке Выключение ГВ и нажатии на кнопку ""Включение ГВ и возврат реле"", ГВ на обеих секциях не включаются.",Напряжение цепи управления ниже 35В.,"Соберите аварийную схему питания цепей управления от РЩ второй секции, переключив переключатель ЗР на РЩ в нижнее положение."
5,Цепи главного выключателя (ГВ),"При включенной кнопке Выключение ГВ и нажатии на кнопку ""Включение ГВ и возврат реле"", ГВ на обеих секциях не включаются.","Блокировочный переключатель БП находится в положении ""торможение"".","Установить тормозную рукоятку в нулевую позицию, а главную кратковременно переведите в положение ""АВ"" и вернуть в нулевое положение."
5,Цепи главного выключателя (ГВ),"При включенной кнопке Выключение ГВ и нажатии на кнопку ""Включение ГВ и возврат реле"", ГВ на обеих секциях не включаются.",Излом поворотного изолятора ГВ.,Перейти на работу исправной секцией.
