N,topic,malfunction,cause,elimination
1,"Пуск дизеля
Не запускается дизель","При включении тумблера ""Топливный насос"" вал топливоподкачивающего агрегата не вращается.
Контактор КТН не включается.","Сработал или не включен автомат А2 ""Топливный насос"" на высоковольтной камере.","Включите автомат, при повторном срабатывании защиты, следовать одной секцией."
1,"Пуск дизеля
Не запускается дизель","При включении тумблера ""Топливный насос"" вал топливоподкачивающего агрегата не вращается.
Контактор КТН не включается.","Реверсивная рукоятка не установлена в одно из рабочих положений, штурвал контроллера машиниста не установлен в ""0"" позицию.","Установить реверсивную рукоятку в рабочее положение, штурвал контроллера на ""0"" позицию."
1,"Пуск дизеля
Не запускается дизель","При включении тумблера ""Топливный насос"" вал топливоподкачивающего агрегата не вращается.
Контактор КТН не включается.",Нарушен контакт тумблера топливоподкачивающего насоса,"Включением и отключением попытаться восстановить контакт тумблера.
В пути следования включить соответствующий тумблер на ведомой секции."
1,"Пуск дизеля
Не запускается дизель","При включении тумблера ""Топливный насос"" вал топливоподкачивающего агрегата не вращается.
Контактор КТН не включается.","Сработал автомат А3 ""Дизель""","Включите автомат, при повторном срабатывании защиты, следовать одной секцией."
1,"Пуск дизеля
Не запускается дизель","При включении тумблера ""Топливный насос"" вал топливоподкачивающего агрегата не вращается.
Контактор КТН не включается.",Перегорел предохранитель ПР-5 (125А),Сменить предохранитель
1,"Пуск дизеля
Не запускается дизель",Контактор КТН включается,"""Зависание"" щёток электродвигателя топливоподкачивающего насоса.","Устранить ""зависание"" щёток электродвигателя топливоподкачивающего насоса."
2,"Пуск дизеля
Не запускается дизель",Стрелки манометров давления топлива вибрируют на щитке приборов в дизельном помещении,Попадание воздуха в топливную систему,При работающем топливоподкачивающем насосе открыть вентиль на нагнетательной трубе и пробку на фильтре тонкой очистки топлива и выпустить воздух.
3,"Пуск дизеля
Не запускается дизель",Топливный насос (на дизеле) и топливоподкачивающий насос не создают нормального давления,Низкая температура топлива,Проверить работу и включение топливоподогревателя
4,"Пуск дизеля
Не запускается дизель","Контактор КМН включился, но маслопрокачивающий насос не работает",Перегорел предохранитель ПР-5 в цепи электродвигателя.,Заменить предохранитель ПР-5 (125А)
4,"Пуск дизеля
Не запускается дизель","Контактор КМН включился, но маслопрокачивающий насос не работает","""Зависание"" щёток электродвигателя маслопрокачивающего насоса.","Устранить ""зависание"" щёток электродвигателя маслопрокачивающего насоса."
4,"Пуск дизеля
Не запускается дизель",Контактор КМН не включился,"Выключен или сработал автомат А1 ""Управление общее""","Включить автомат А1 ""Управление общее"", при повторном срабатывании защиты, следовать одной секцией."
4,"Пуск дизеля
Не запускается дизель",Контактор КМН не включился,"Реверсивная рукоятка не установлена в одно из рабочих положений, штурвал контроллера машиниста не установлен в ""0"" позицию.","Установить реверсивную рукоятку в рабочее положение, штурвал контроллера на ""0"" позицию."
5,"Пуск дизеля
Не запускается дизель",Частота вращения вала дизеля по позициям не соответствует номинальной,"Возможно нарушения контакта в фишке объединенного регулятора.
Нарушение одного из замыкающих контактов контроллера в цепи управления электромагнитами МР1-МР4
Неисправность ТНВД","Проверить крепление разъема фишки объединенного регулятора.
Проверить цепи питания контролера машиниста.
Проверить работу ТНВД при неисправном ТНВД отключить неисправный, но не более двух."
6,"Пуск дизеля
Не запускается дизель","Пуск дизеля происходит, но по истечении 10-12с. останавливается",Отключается реле РУ-9 из-за неисправности з.к. реле РУ-9 в цепи собственной катушки.,Восстановить контакт.
6,"Пуск дизеля
Не запускается дизель","Пуск дизеля происходит, но по истечении 10-12с. останавливается",Вышел из строя топливоподкачивающий насос дизеля,"Включить ТНА ""Аварийный топливный насос"""
