N,topic,malfunction,cause,elimination
1,"При включении автомата ""Топливный насос I"" вал топливоподкачивающего насоса не вращается","Автомат ""Топливный насос I"" не включается",Сработал автомат АТН.,"Включить автомат, если автомат выбивает, то проверить цепь и устранить в ней короткое замыкание, проверить автомат АТН."
2,"При включении автомата ""Топливный насос I"" вал топливоподкачивающего насоса не вращается","Автомат ""Топливный насос I"" включается",Заклинена топливная помпа или разрушена муфта ее привода,Осмотреть топливную помпу.
2,"При включении автомата ""Топливный насос I"" вал топливоподкачивающего насоса не вращается","Автомат ""Топливный насос I"" включается",Нарушен контакт в соединениях клеммной коробки или обрыв межкатушечных соединений электродвигателя,Восстановить контакт или устранить обрыв соединений.
2,"При включении автомата ""Топливный насос I"" вал топливоподкачивающего насоса не вращается","Автомат ""Топливный насос I"" включается","""Заедание"" щеток в обоймах щеткодержателей, неприлегание щеток к коллектору двигателя (после постановки новых).",Осмотреть щеткодержатель.
3,Не срабатывает контактор КТН или нарушились цепь питания двигателя или контактора,"При переводе тумблера ПЗП в положение ""Запуск"" маслоподкачивающий насос не работает",Нарушена цепь питания электродвигателя ЭМН.,"Осмотреть цепь питания электродвигателя ЭМН на предмет термического повреждения, по возможности устранить неисправность."
4,Не срабатывает контактор КТН или нарушились цепь питания двигателя или контактора,Маслопрокачивающий насос не вращается:,Заклинены масляная помпа или неисправна муфта ее привода.,Осмотреть маслопрокачивающий насос.
5,Не срабатывает контактор КТН или нарушились цепь питания двигателя или контактора,Контактор КМН не включается,"Контроллер машиниста не установлен в ""0"" положении.","Установить контроллер машиниста в ""0"" положение."
6,Не срабатывает контактор КТН или нарушились цепь питания двигателя или контактора,"Контактор КМН включился, но маслопрокачивающий насос не работает",Перегорел предохранитель ПрБ в цепи электродвигателя.,Заменить предохранитель ПрБ.
6,Не срабатывает контактор КТН или нарушились цепь питания двигателя или контактора,"Контактор КМН включился, но маслопрокачивающий насос не работает",Нарушен контакт силовых губок контактора КМН.,Восстановить контакт.
7,"При пуске вал дизеля проворачивается, а запуск не производится",Нет давления масла в лотке дизеля,"Не сработал ДДМ4 (0,05МПа).",При необходимости снять пломбу с ДДМ и включить датчик принудительно.
8,"При пуске вал дизеля проворачивается, а запуск не производится",Нет запуска дизеля,Срабатывает валоповоротный механизм дизеля.,Осмотреть валоповоротный механизм и состояние блокировки.
9,"При пуске вал дизеля проворачивается, а запуск не производится","Рейки топливных насосов ""не идут на подачу"" топлива",Не включен выключатель (предельный) подачи топлива.,Включить предельный выключатель.
9,"При пуске вал дизеля проворачивается, а запуск не производится","Рейки топливных насосов ""не идут на подачу"" топлива",Заедание плунжерной пары рейки какого-либо насоса или топливного насоса или общей тяги,"Отключить поводок, ""расходить"" рейку топливного насоса."
10,"При пуске вал дизеля проворачивается, а запуск не производится","Топливоподкачивающий насос не создает давления топлива (0,15-0,25 МПа)",Попадание воздуха в топливную систему.,"Выпустить воздух, отвернуть пробку на фильтре тонкой очистки топлива, прокачать топливо."
11,"При пуске вал дизеля проворачивается, а запуск не производится","Пусковой контактор КД включается и отпадает, нарпяжение снижается до нуля.",Нет контакта в цепи соединения аккумуляторной батареи: сильно понижена емкость батареи.,Осмотреть и при необходимости зачистить контакт.
12,"При пуске вал дизеля проворачивается, а запуск не производится",После пуска дизеля нет зарядки батареи,Перегорел предохранитель ПРБ и (или) ПРА зарядки батареи.,Сменить предохранитель ПРБ или ПРА.
13,"При пуске вал дизеля проворачивается, а запуск не производится","После пуска дизеля и установки контроллера на первую позицию не включаются контакторы КВГ и КВВ, горит сигнализация ""Сброс нагрузки""","Открыты двери ВВК, разомкнуты блокировки дверей БД1-БД8.",Закрыть двери ВВК.
14,"При пуске вал дизеля проворачивается, а запуск не производится","Стрелка манометра топливоподкачивающего насоса ""вибрирует""",Попадание воздуха в топливную систему.,Открыть пробку на фильтре тонкой очистки топлива и выпустить воздух.
15,"При пуске вал дизеля проворачивается, а запуск не производится","3.9 Топливоподкачивающий насос не создает нормального давления (1,5...2,5кгс/см2)","Низкая температура топлива (топливо загустело, плохо проходит через фильтры).",Включить топливоподогреватель.
