N,topic,malfunction,cause,elimination
1,"Токоприёмники, разъединители, заземлители","Переключение ВЦУ при включенном переключателе ""Токоприемник""",Заблокирована кнопка ТКП,"Проверить выключенное положение ВЦУ во второй кабине.
Переключатель соответствующего токоприемника установить в положение ""Заземлитель"", а затем в положение ""Токоприемник""."
2,"Токоприёмники, разъединители, заземлители","Сообщение выводится:
- ГВ выключен,
- переключатели токоприемников установлены в положение ""Заземлитель;
- в МПСУиД приходит сигнал о наличии напряжения контактной сети больше 750В.",Не включаются заземлители Uks > 750В,"Визуально убедиться в положении токоприемника.
1. Если токоприемник поднят (постороннее питание на вентиле токоприемника) то для снятия постороннего напряжения с вентиля токоприемника отключить тумблер SA41 в ШНА.
2. Если токоприемник опущен, то в МПСУиД приходит сигнал о наличии напряжения контактной сети (Т3 или БУЭ).
Следовать обычным порядком до ПТО, где неисправность должна быть устранена. При отключении тумблера SA41 использовать токоприемники других секций."
3,"Токоприёмники, разъединители, заземлители","Сообщение выводится:
- ГВ выключен,
- переключатели токоприемников установлены в положение ""Заземлитель"";
- в МПСУиД приходит сигнал по проводу 335 (QS1 соединен)",Не включаются заземлители - нет сигнала выкл. разъединителя секции 1 (2),На соответствующей секции отключить разъединитель вручную (перевести в положение заземлен). В МПСУиД выводится сигнал по проводу 358 (QS1 заземлен)
4,"Токоприёмники, разъединители, заземлители",Требование на перевод QS1 в положение заземлен при включенном ГВ.,Не включаются заземлители - не выключен ГВ.,Выключить ГВ.
5,"Токоприёмники, разъединители, заземлители",Не прошла команда по проводу 340 на отключение разъединителя QS1.,Не включаются заземлители - нет команды выключения разъединителей.,Вручную отключить разъединители и включить заземлители.
6,"Токоприёмники, разъединители, заземлители",Под питанием промежуточное реле KL8 на одной из секций (провод 334).,"Не выключаются заземлители - не закрыты ШВА, люк электровоза на секции1 (2).","Проверить закрытие дверей (ШВА, ШБВ, ППЦУ, ТП), люк выхода на крышу. Повторно выключить заземлитель переключателем SA8 или SA 9."
7,"Токоприёмники, разъединители, заземлители",ГВ включен.,Не выключаются заземлители - не выключен ГВ.,Выключить ГВ. На всех секциях проверить включенное положение ключевых запоров SA38 или SA39. Электровоз запустить обычным порядком.
8,"Токоприёмники, разъединители, заземлители",Нет сигнала по проводу 388.,Не включаются разъединители - нет сигнала выключения заземлителей секции 1 (2),"На секции, по которой пришло сообщение, вручную перевести QS2 из положения заземлен."
9,"Токоприёмники, разъединители, заземлители",Поступление сигнала по проводу 341 (ГВ включен).,Не включаются разъединители - не выключен ГВ.,Выключить ГВ. На всех секциях проверить включенное положение ключевых запоров SA38 или SA39. Электровоз запустить обычным порядком.
10,"Токоприёмники, разъединители, заземлители",Поступление сигнала по проводу 347 от блока управления токоприемником.,Излом токоприемника.,"Повторное поднятие токоприёмника, после выявления и устранения причин неисправности.
Использовать другой токоприемник."
11,"Токоприёмники, разъединители, заземлители",Поступление сигнала по проводу 351 от блока управления токоприемником,Отсутствие контактной линии.,"Повторное поднятие токоприёмника, после выявления и устранения причин неисправности.
Использовать другой токоприемник."
12,"Токоприёмники, разъединители, заземлители",Поступление сигнала по проводу 341 (ГВ включен).,Не поднимается ТКП - не выключен ГВ.,Выключить ГВ. На всех секциях проверить включенное положение ключевых запоров SA38 или SA39. Электровоз запустить обычным порядком.
13,"Токоприёмники, разъединители, заземлители",Не формируется цепь провода 339.,Не поднимается ТКП - нет команды включения разъединителя.,"Поднять ТКП другой секции.
Следовать до ПТОЛ для выяснения причин отказа."
14,"Токоприёмники, разъединители, заземлители","Сообщение выводится при наличии команды на подъем токоприемника:
- нет сигнала об отключении токоприемника (провод 338);
- нет сигнала о готовности токоприемника к подъему (пр. 331);
- отсутствует сигнал об изломе (пр.347);
- отсутствует сигнал об отсутствии контактной линии (пр. 351).","Авария ТКП секции 1 (2, 3, 4)","Проверить давление в магистрали цепей управления (не менее 0,35 МПа).
Проверить цепь включения соответствующего разъединителя (провод 335)."
15,"Токоприёмники, разъединители, заземлители","Не поднимаются ТКП - режим ""Ввод в депо"", ""Обточка"", ""Холодный отстой""","Переключателем SA23 (""Эксплуатация"") задан режим ""Ввод в депо"" или ""Обточка"" или ""Холодный отстой""","Установить переключатель SA23 в положение ""Нормальная эксплуатация"". Электровоз запустить обычным порядком."
16,"Токоприёмники, разъединители, заземлители",Токоприемник не опускается.,"Только на ведущей секции выполняются все условия:
- нет команд с пульта управления на подъем токоприемников;
- U к.с. >750В.","1. Визуально убедиться в опущенном положении токоприёмника.
2. Если токоприемник поднят, то для снятия постороннего напряжения с вентиля токоприемника отключить тумблер SA41 или перекрыть разобщительный кран КН28 к блоку управления токоприемником;
3. Если токоприемник опущен, то сделать запись в журнал о неисправности датчика напряжения."
17,"Токоприёмники, разъединители, заземлители",Нет информации о напряжении контактной сети при подъеме токоприемника секция 1 (или секция 2).,"Выполняются все условия:
- есть команда на поднятие токоприемника секция 1 (секция 2);
- напряжение контактной
сети < 750 В.","1. Визуально убедиться в поднятии и касании контактного провода токоприёмником, а так же в замыкании его разъединителя.
2. При обнаружении признаков неисправности на аварийной секции в ШНА переключить тумблер SA41 в положение ""выключено"".
3 В работе использовать исправный токоприемник."
18,"Токоприёмники, разъединители, заземлители",При поочередном подъеме токоприемников в МПСУиД выводится информация о величине напряжения в контактной сети менее 750В.,Неисправность крышевого оборудования до ГВ.,При обнаружении признаков короткого замыкания крышевого оборудования не допускается подъем токоприемников.
19,"Токоприёмники, разъединители, заземлители","Есть готовность БПСН (ASG1(2)) на данной секции. Расхождения по величине напряжения контактной сети, поступающей по линии СМЕ и информации от БУЭ.",Недостоверная информация о напряжении контактной сети.,Следовать до ПТОЛ для выяснения причин отказа.
20,Главный выключатель,ГВ выключен по перегрузке,Аппаратное отключение через БУЭ по величине тока контактной сети или по величине тока тяговых преобразователей.,"Мгновенное значение тока контактной сети 750А в течение 2мС Мгновенное значение тока одного из преобразователей 375 А в течение 2 мС
По возможности повторно включить ГВ"
21,Главный выключатель,Заблокирована кнопка ГВ,"Переключение ВЦУ, ГВ включен.",Включить и выключить тумблер ГВ в кабине управления.
22,Главный выключатель,Не включается ГВ - не выключены ТЭД,Задана величина силы тяги,"Нажать кнопку ""Выбег"""
23,Главный выключатель,ГВ отключен - опускание токоприемников,"Снимается питание с КМ19 при попытке опустить токоприемник, токоприемник на второй секции опущен.","Выключить тумблер ГВ, поднять токоприемник установленным порядком, включить ГВ."
24,Главный выключатель,"Выключен ГВ -
Uks > 30000В",Напряжение контактной сети больше 30000 В в течение 1 секунды,Включить ГВ при напряжении контактной сети менее 30000 В
25,Главный выключатель,"Выключен ГВ -
Uks < 17000 В",Напряжение контактной сети менее 17000 В в течение 1 секунды,Включить ГВ при напряжении контактной сети более 17000 В.
26,Главный выключатель,"Нет готовности разъединителей, заземлителя","Сигнал ""Готовность разъединителей"" устанавливается:
- получены сигналы о допустимом положении QS1 и QS2;
- нет команд на переключение QS1 и QS2;
- QS3 и QS4 в положении ""соединен"".","Проверить положение заземлителя QS2 и разъединителей QS3, QS4
QS1 и QS2 на секции, где поднят токоприемник должны находиться в положении ""соединен"".
QS2 на прицепных секциях в положении ""соединен"".
QS3 и QS4 в положении ""соединен"".
При неисправности тягового преобразователя QS3 (для ТП1) или QS4 (для ТП2) может находиться в положении ""заземлен"""
27,Главный выключатель,Выключен ГВ - отключены оба ТП,"QS3 и QS4 в положении ""заземлен""",При появлении сигнала о готовности ТП к подаче питания повторно включить ГВ.
28,Главный выключатель,Выключен ГВ - по требованию ASG1(2),Наличие требования от ТП1 или ТП2 на отключение ГВ,Включить ГВ после снятия требования на отключение.
29,Главный выключатель,ГВ не включен - ожидание готовности ТП1(2),Нет готовности к подаче питания от ТП1(2),При появлении сигнала о готовности ТП к подаче питания включить ГВ.
30,Главный выключатель,Выключен ГВ - по разгруппировке ASG1(2),Поступление требования от ASG1(2) на разгруппировку,"Отключить вспомогательные машины, тумблер ГВ перевести в положение ""выключен"", опустить токоприемники, установленным порядком выключить и включить ВЦУ. Запустить электровоз. При появлении сигнала о готовности ТП к подаче питания включить ГВ."
