N,topic,malfunction,cause,elimination
1,Пуск дизеля,"Топливоподкачивающий насос не создает нормального давления 0,18-0,3 МПа"" (1,8-3,0 кгс/см2)","Попадание воздуха в топливную систему
Выход из строя топливо подкачивающего насоса.","Открыть кран на нагнетательной трубке и выпустить воздух.
Если устранить неисправность невозможно, разрешается работа и следование с поездом при питании секции топливных насосов за счет разряжения, создаваемого секциями топливного насоса дизеля с помощью аварийной системы. Для этого выключить автомат ""Топливный насос"", снять пломбу с крана 4(26), открыть кран и запустить дизель. Остановку дизеля производить выключением тумблера ""Пуск-остановка дизеля"""
2,Пуск дизеля,"При включенных автомате и тумблере ""Топливный насос"" вал топливоподкачивающего насоса не вращается или вращается с перебоями",Перегорел предохранитель цепи питания от аккумуляторной батареи.,Сменить предохранитель на 80 А в аппаратной камере.
3,Пуск дизеля,"При включении тумблера В-27 ""Пуск и остановка дизеля"" и автомата АВ-3 ""Управление общее"" не включается контактор КТН","Переключатель числа тепловозов - ПЧТ не установлен в положение ""Одного тепловоза"".","Поставить переключатель ПЧТ в положение ""Одного тепловоза"" то есть горизонтальное."
4,Пуск дизеля,"При включении тумблера ""Пуск-остановка дизеля"" и автомата ""Управление общее"" коленчатый вал не проворачивается",Штурвал контроллера машиниста не установлен в нулевое положение.,Установить контроллер машиниста в нулевое положение.
4,Пуск дизеля,"При включении тумблера ""Пуск-остановка дизеля"" и автомата ""Управление общее"" коленчатый вал не проворачивается",Не сработало реле времени РВЗ и не замкнулись его контакты в цепи катушки реле РУ5.,Проверить срабатывание реле РВЗ
4,Пуск дизеля,"При включении тумблера ""Пуск-остановка дизеля"" и автомата ""Управление общее"" коленчатый вал не проворачивается",Наличие воздуха в топливной системе или его подсос.,Удалить воздух из системы.
4,Пуск дизеля,"При включении тумблера ""Пуск-остановка дизеля"" и автомата ""Управление общее"" коленчатый вал не проворачивается",Нарушена последовательность пусковых операций.,"Отключить и снова включить тумблер ""Пуск-остановка дизеля""."
5,Пуск дизеля,"При пуске коленчатый вал вращается нормально, рейки топливного насоса передвигаются в сторону подачи топлива, но дизель-генератор не запускается.",Выключены секции топливного насоса,Включить секции топливных насосов
5,Пуск дизеля,"При пуске коленчатый вал вращается нормально, рейки топливного насоса передвигаются в сторону подачи топлива, но дизель-генератор не запускается.",Попадание воздуха в топливную систему,Удалить воздух из топливной системы.
5,Пуск дизеля,"При пуске коленчатый вал вращается нормально, рейки топливного насоса передвигаются в сторону подачи топлива, но дизель-генератор не запускается.",Недостаточное количество масла в ванне,Заполнить ванну регулятора маслом до середины масломерного стекла
5,Пуск дизеля,"При пуске коленчатый вал вращается нормально, рейки топливного насоса передвигаются в сторону подачи топлива, но дизель-генератор не запускается.","Чрезмерная вязкость масла, залитого в ванну регулятора (в зимнее время)","Наполнить ванну регулятора подогретым маслом, взятым из картера дизеля"
5,Пуск дизеля,"При пуске коленчатый вал вращается нормально, рейки топливного насоса передвигаются в сторону подачи топлива, но дизель-генератор не запускается.",Сработал регулятор предельной частоты вращения коленчатого вала,Восстановить регулятор предельной частоты вращения вала дизеля
6,Пуск дизеля,Дизель-генератор запускается с трудом или после пуска останавливается,Тугой ход реек топливного насоса,"Проверить свободность хода реек, неисправный насос отключить"
6,Пуск дизеля,Дизель-генератор запускается с трудом или после пуска останавливается,Дизель не прогрет,Прогреть дизель до необходимой температуры
7,Пуск дизеля,Дизель не запускается при исправной работе электрической аппаратуры,Не включен предельный регулятор частоты вращения коленчатого вала дизеля.,"Включить предельный регулятор, для чего установить рукоятку ручного выключения дизеля в первоначальное положение."
